Index,IDSURVEY,zHD,zHEL,MU,MUERR,MUERR_VPEC,MUERR_SYS,PROBIA_BEAMS
266,10,0.21885,0.21976,40.06356,0.1118,0.0109,0.02542,1.0
267,10,0.21898,0.21995,40.34771,0.1788,0.0109,0.19984,1.0
268,10,0.21924,0.22015,39.95573,0.1013,0.0109,0.03894,1.0
269,10,0.21942,0.21992,39.96014,0.1979,0.0109,0.08987,1.0
270,10,0.21986,0.22034,40.0411,0.1358,0.0109,0.02038,1.0
271,10,0.22101,0.22191,40.45498,0.1737,0.0108,0.22357,1.0
272,10,0.22157,0.22248,40.28881,0.1108,0.0108,0.03058,1.0
273,10,0.22211,0.223,40.1587,0.2004,0.0108,0.08714,1.0
274,10,0.22284,0.2233,40.09276,0.1782,0.0107,0.04352,1.0
275,10,0.22305,0.22397,40.20316,0.2129,0.0107,0.07514,1.0
276,10,0.22398,0.2249,40.17738,0.1073,0.0107,0.02517,1.0
277,10,0.22453,0.2254,40.24418,0.1203,0.0107,0.03364,1.0
278,10,0.22482,0.22582,40.26777,0.0985,0.0106,0.0167,1.0
279,10,0.22566,0.22666,40.27718,0.1907,0.0106,0.18008,0.99996
280,10,0.22714,0.228,40.14119,0.1618,0.0105,0.04378,1.0
281,10,0.22806,0.22896,40.50123,0.1892,0.0105,0.05466,0.99434
282,10,0.22806,0.22896,40.23671,0.1527,0.0105,0.03051,1.0
283,10,0.22941,0.2299,40.24144,0.1026,0.0104,0.04307,1.0
284,10,0.23048,0.23147,40.25625,0.1114,0.0104,0.04017,1.0
285,10,0.23057,0.23156,42.30845,238.612,0.0104,0.04569,0.0
286,10,0.23079,0.23176,40.29796,0.1226,0.0104,0.02336,1.0
287,10,0.23171,0.23259,40.15341,0.1707,0.0104,0.06419,1.0
288,10,0.23212,0.233,40.32782,0.1157,0.0103,0.02376,1.0
289,10,0.23279,0.23323,40.78688,201.5004,0.0103,0.20587,0.0
290,10,0.23332,0.23433,40.44286,0.1187,0.0103,0.03314,1.0
291,10,0.23355,0.23446,40.2262,0.1776,0.0103,0.04931,1.0
292,10,0.2338,0.2348,40.15655,0.22,0.0103,0.09882,1.0
293,10,0.2347,0.23568,40.35195,0.1408,0.0102,0.04462,1.0
294,10,0.2348,0.23571,40.97115,111.2664,0.0102,0.0726,0.0
295,10,0.23482,0.23572,40.24048,0.1461,0.0102,0.03827,1.0
296,10,0.23532,0.23625,40.59127,0.1108,0.0102,0.01727,1.0
297,10,0.23707,0.23797,40.5112,0.1453,0.0101,0.02995,1.0
298,10,0.2371,0.2381,40.3202,0.1215,0.0101,0.05204,1.0
299,10,0.2372,0.2382,40.46564,0.1018,0.0101,0.03994,1.0
300,10,0.23734,0.23835,40.33508,0.1117,0.0101,0.02922,1.0
301,10,0.23747,0.23837,40.41081,0.1341,0.0101,0.06512,0.99999
302,10,0.23891,0.23993,40.39397,0.1535,0.0101,0.09115,1.0
303,10,0.23928,0.23972,40.38821,0.0998,0.0101,0.04379,0.92859
304,10,0.23954,0.24,40.44745,0.1127,0.01,0.01891,1.0
305,10,0.24003,0.2405,40.4215,0.0905,0.01,0.02588,1.0
306,10,0.24171,0.2427,40.38161,0.0839,0.01,0.03867,1.0
307,10,0.24283,0.24326,40.52226,0.1151,0.0099,0.04129,1.0
308,10,0.24448,0.2454,40.34132,0.2067,0.0099,0.07626,1.0
309,10,0.24576,0.24666,40.75279,0.1332,0.0098,0.05056,1.0
310,10,0.24605,0.24651,40.59366,0.0993,0.0098,0.01711,1.0
311,10,0.24618,0.24709,40.23354,0.1873,0.0098,0.06117,1.0
312,10,0.24701,0.248,40.26524,0.102,0.0098,0.02449,1.0
313,10,0.24936,0.25028,40.35571,0.2089,0.0097,0.12165,1.0
314,10,0.25126,0.25229,40.41245,0.1417,0.0096,0.02011,1.0
315,10,0.25173,0.25278,40.51833,0.1434,0.0096,0.02565,1.0
316,10,0.25286,0.2539,40.70136,0.2031,0.0096,0.05663,0.96996
317,10,0.25308,0.25358,40.46937,0.1693,0.0096,0.03946,1.0
318,10,0.25378,0.25478,40.35512,0.1134,0.0095,0.03321,1.0
319,10,0.25517,0.25617,40.30212,0.1141,0.0095,0.031,1.0
320,10,0.25604,0.25695,40.66634,0.1448,0.0095,0.03627,1.0
321,10,0.25691,0.25736,40.48353,0.173,0.0094,0.02219,1.0
322,10,0.25833,0.25928,40.41248,0.1988,0.0094,0.05074,1.0
323,10,0.25854,0.25956,40.59566,0.0934,0.0094,0.02856,1.0
324,10,0.25904,0.25993,40.50537,0.1502,0.0094,0.02541,1.0
325,10,0.25907,0.26,40.23541,0.1301,0.0093,0.06791,1.0
326,10,0.26046,0.26146,40.98259,0.24,0.0093,0.21022,0.99997
327,10,0.26048,0.26136,40.74659,0.1464,0.0093,0.02471,0.99999
328,10,0.26103,0.26151,40.86697,0.7274,0.0093,0.05248,0.0677
329,10,0.2615,0.26238,40.48657,0.15,0.0093,0.03469,1.0
330,10,0.26162,0.26262,40.58782,0.1271,0.0093,0.02502,1.0
331,10,0.26271,0.26371,40.54026,0.0903,0.0092,0.02462,1.0
332,10,0.26317,0.26423,41.83784,320.3305,0.0092,0.12092,0.0
333,10,0.26361,0.26453,40.69751,0.1275,0.0092,0.0524,1.0
334,10,0.26523,0.26572,40.9081,0.2072,0.0092,0.33893,0.99998
335,10,0.26584,0.26685,40.74542,0.1774,0.0091,0.24258,1.0
336,10,0.26628,0.26722,40.58229,0.1056,0.0091,0.04148,1.0
337,10,0.26765,0.2686,40.66311,0.1529,0.0091,0.02997,1.0
338,10,0.26767,0.26812,42.34894,219.2544,0.0091,0.26923,0.0
339,10,0.26775,0.26866,40.88779,0.1635,0.0091,0.0346,1.0
340,10,0.26793,0.26838,40.59362,0.1009,0.0091,0.02498,0.99996
341,10,0.26891,0.26982,40.7573,0.1768,0.009,0.04624,1.0
342,10,0.26996,0.27087,40.44445,0.1428,0.009,0.04128,1.0
343,10,0.27001,0.27092,40.6088,0.1206,0.009,0.02442,0.99999
344,10,0.27051,0.27144,40.90091,0.1111,0.009,0.01838,1.0
345,10,0.27119,0.27223,40.77037,0.1154,0.009,0.03889,1.0
346,10,0.27142,0.27235,40.6058,0.1249,0.009,0.01576,1.0
347,10,0.27237,0.2734,40.69293,0.1247,0.0089,0.0872,1.0
348,10,0.27255,0.27302,40.77936,0.115,0.0089,0.01477,1.0
349,10,0.27265,0.27358,40.67029,0.1033,0.0089,0.0274,1.0
350,10,0.27278,0.27372,40.65338,0.1059,0.0089,0.01856,1.0
351,10,0.27304,0.27399,40.70865,0.1137,0.0089,0.02338,1.0
352,10,0.27316,0.27405,40.71483,0.1397,0.0089,0.01734,1.0
353,10,0.27382,0.27476,40.46812,0.098,0.0089,0.02327,1.0
354,10,0.27437,0.27487,40.7618,0.1667,0.0089,0.19128,1.0
355,10,0.27539,0.27633,40.69707,0.1095,0.0088,0.02177,1.0
356,10,0.27578,0.27627,41.07373,0.2755,0.0088,0.18662,1.0
357,10,0.27589,0.27638,40.66582,0.6008,0.0088,0.10397,0.1853
358,10,0.27618,0.2772,40.76795,0.2444,0.0088,0.11243,1.0
359,10,0.27659,0.27761,40.82561,0.081,0.0088,0.05055,1.0
360,10,0.27694,0.27798,40.92631,0.1242,0.0088,0.02607,0.99999
361,10,0.27784,0.27836,41.00841,0.1548,0.0088,0.19999,1.0
362,10,0.27905,0.28008,40.89237,0.2187,0.0087,0.06008,0.99999
363,10,0.27963,0.28053,40.93028,0.2183,0.0087,0.07734,0.99999
364,10,0.2801,0.28112,40.7781,0.1056,0.0087,0.02008,1.0
365,10,0.28063,0.28165,40.69969,0.1279,0.0087,0.04879,1.0
